@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}

@data
31,'2025/11/18 23:23:52:845',1,0.414207,0.345571,0.341367,0.389832,0.435835,0.374004,0.520142,0.324506,0.556306,0.3481,0.55225,0.356759,0.666312,0.359273,0.735485,0.360881,0.799559,0.30257,0.541865,0.309326,0.621344,0.321867,0.539274,0.331006,0.470028,0.259861,0.516765,0.265973,0.570614,0.285829,0.482708,0.296485,0.41786,0.217503,0.482567,0,0,0.222809,0.536488,0.245696,0.479826,0.257916,1,?,?
32,'2025/11/18 23:23:52:955',1,0.352815,0.347139,0.295771,0.386977,0.386684,0.36734,0.46314,0.319213,0.495405,0.346933,0.507502,0.353487,0.621852,0.354846,0.691711,0.355858,0.755191,0.2996,0.494478,0.308238,0.569284,0.317524,0.485353,0.324701,0.41358,0.257014,0.466866,0.263476,0.516669,0.283173,0.429338,0.294722,0.363012,0.216285,0.428424,0,0,0.221968,0.475911,0.24577,0.419049,0.259396,1,?,?
33,'2025/11/18 23:23:53:046',1,0.292003,0.371723,0.246659,0.416394,0.328962,0.39421,0.402089,0.347082,0.439133,0.37095,0.459069,0.376783,0.56971,0.379035,0.637843,0.380953,0.698835,0.322861,0.441999,0.333473,0.509645,0.348675,0.425925,0.359468,0.35607,0.280392,0.413285,0.290243,0.454635,0.311873,0.362998,0.323878,0.298734,0.239547,0.375367,0,0,0.247704,0.417702,0.273769,0.356481,0.288138,1,?,?
34,'2025/11/18 23:23:53:146',1,0.2706,0.387245,0.220481,0.435892,0.303004,0.414876,0.376186,0.3642,0.407338,0.380619,0.445463,0.392971,0.548397,0.396797,0.615927,0.40074,0.676625,0.330919,0.429262,0.350826,0.501591,0.368469,0.419831,0.377552,0.350179,0.287785,0.396885,0.313908,0.430136,0.338909,0.332576,0.348425,0.267071,0.247927,0.353505,0,0,0.268847,0.390565,0.297001,0.326394,0.308258,1,?,?
35,'2025/11/18 23:23:53:244',1,0.245952,0.411768,0.19001,0.459933,0.270373,0.442732,0.341562,0.393803,0.374488,0.409111,0.406176,0.413971,0.518448,0.416208,0.589845,0.415163,0.653094,0.359287,0.389813,0.372488,0.434944,0.391367,0.33528,0.400625,0.266855,0.31524,0.363651,0.32962,0.395995,0.355448,0.299242,0.366677,0.235769,0.273384,0.32864,0,0,0.290244,0.359442,0.31745,0.295453,0.328416,1,?,?
36,'2025/11/18 23:23:53:412',1,0.223744,0.473076,0.161395,0.520209,0.240677,0.505939,0.308222,0.456414,0.334277,0.462062,0.374156,0.470903,0.49277,0.475021,0.562465,0.477888,0.627177,0.413434,0.360736,0.439975,0.414084,0.452198,0.324935,0.45323,0.26323,0.369936,0.334633,0.399418,0.368239,0.420361,0.272012,0.425286,0.209261,0.327985,0.297517,0,0,0.353425,0.340271,0.379388,0.279561,0.387288,1,?,?
37,'2025/11/18 23:23:53:542',1,0.213804,0.512298,0.145537,0.55984,0.230974,0.553513,0.304105,0.502766,0.331192,0.49974,0.376366,0.51267,0.490258,0.518935,0.561942,0.524248,0.62706,0.451837,0.366026,0.485405,0.426435,0.498225,0.339348,0.500325,0.278031,0.409303,0.338926,0.447336,0.359118,0.468428,0.256793,0.474565,0.194419,0.369225,0.298713,0,0,0.398204,0.325318,0.424032,0.262177,0.433837,1,?,?
38,'2025/11/18 23:23:53:645',1,0.212802,0.546973,0.142857,0.589246,0.22949,0.583822,0.305933,0.534155,0.33642,0.529743,0.371255,0.541142,0.487039,0.549925,0.561556,0.553342,0.629021,0.480546,0.361638,0.515569,0.433381,0.533449,0.337915,0.53409,0.277206,0.438652,0.334676,0.485852,0.3501,0.506343,0.250178,0.505874,0.198397,0.400116,0.295407,0,0,0.433321,0.316388,0.459507,0.254073,0.466044,1,?,?
39,'2025/11/18 23:23:53:741',1,0.219879,0.595685,0.146876,0.642636,0.229469,0.635809,0.300986,0.588403,0.331915,0.580978,0.372953,0.59465,0.487233,0.603924,0.559442,0.609651,0.626255,0.531299,0.362845,0.564893,0.422781,0.58161,0.323214,0.584083,0.257955,0.487744,0.336437,0.530407,0.355372,0.551611,0.251962,0.554482,0.194164,0.446989,0.296722,0,0,0.477717,0.323498,0.50318,0.260074,0.510276,1,?,?
40,'2025/11/18 23:23:53:883',1,0.230306,0.607077,0.148096,0.65363,0.230421,0.647874,0.303925,0.601926,0.343152,0.594016,0.374538,0.607045,0.489266,0.613257,0.561275,0.616776,0.629327,0.54468,0.362792,0.572665,0.432062,0.589573,0.337776,0.594068,0.273385,0.500552,0.336112,0.537089,0.370882,0.558736,0.26544,0.562416,0.203278,0.458818,0.29609,0,0,0.487222,0.333411,0.513841,0.268717,0.521318,1,?,?
